obj_id,nces_schid,nces_disid,grtschl_id,choice,coextensiv,students,teachers,pk,kg,first,second,third,fourth,fifth,sixth,seventh,eighth,ninth,tenth,eleventh,twelfth,low_grade,high_grade,gender,school_typ,ed_level
15000485,00072279,,8091,false,false,216,11.8,,,,,,,,,,,,,,,,,C,R,E
15000486,00072315,,8092,false,false,371,56,,,,,,,,,,,,,,,,,C,R,O
15000487,00072326,,8093,false,false,282,15.4,,,,,,,,,,,,,,,,,C,R,E
15000489,00072359,,8095,false,false,298,13.9,,,,,,,,,,,,,,,,,C,R,E
15000490,00072428,,8096,false,false,197,10.6,,,,,,,,,,,,,,,,,C,R,E
15000491,00072439,,8097,false,false,277,16.5,,,,,,,,,,,,,,,,,C,R,E
15000492,00072461,,8098,false,false,545,18,,,,,,,,,,,,,,,,,C,R,E
15000493,00072472,,8099,false,false,354,15.3,,,,,,,,,,,,,,,,,C,R,E
15000494,00072483,,8100,false,false,248,17.4,,,,,,,,,,,,,,,,,F,R,S
15000495,00072508,,8102,false,false,263,10,,,,,,,,,,,,,,,,,C,R,E
15000496,00072519,,8103,false,false,499,55.8,,,,,,,,,,,,,,,,,F,R,S
15000497,00072541,,8104,false,false,180,9,,,,,,,,,,,,,,,,,C,R,E
15000498,00072574,,8105,false,false,208,10,,,,,,,,,,,,,,,,,C,R,E
15000499,00072596,,8106,false,false,576,34.4,,,,,,,,,,,,,,,,,M,R,S
15000500,00072632,,8108,false,false,1270,104,,,,,,,,,,,,,,,,,C,R,S
15000501,00072654,,8109,false,false,453,25.6,,,,,,,,,,,,,,,,,C,R,E
15000502,00072665,,8110,false,false,130,5,,,,,,,,,,,,,,,,,C,R,E
15000503,00072676,,8111,false,false,327,18.5,,,,,,,,,,,,,,,,,C,R,E
15000504,00072687,,8112,false,false,260,12.9,,,,,,,,,,,,,,,,,C,R,E
15000505,00072698,,8113,false,false,590,19.1,,,,,,,,,,,,,,,,,C,R,E
15000506,00072701,,8114,false,false,236,11.3,,,,,,,,,,,,,,,,,C,R,E
