obj_id,state,statefips,cbsa,cbsafips,cbsatyp,county,countyfips,mcd_ccd,mcdfips,place,placefips
15000485,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Mateo,06081,South San Francisco,93170,Pacifica,0654806
15000486,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Mateo,06081,San Mateo,92870,Portola Valley,0658380
15000487,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Macro,San Mateo,06081,San Mateo,92870,Redwood City,0660102
15000489,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Mateo,06081,San Mateo,92870,San Carlos,0665070
15000490,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000491,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000492,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000493,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000494,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000495,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Macro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000496,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000497,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000498,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000499,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000500,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000501,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000502,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000503,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000504,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000505,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
15000506,CA,06,"San Francisco-Oakland-Hayward, CA",41860,Metro,San Francisco,06075,San Francisco,92790,San Francisco,0667000
