loc_id,obj_id,loc_typ,address,city,state_prov,post_code,phone,web
41925206,15040703,P,1286 RUNNYMEDE ST,EAST PALO ALTO,CA,94303,6506149100,
41925309,15138861,P,2450 RALMAR ST,EAST PALO ALTO,CA,94303,6503296536,
41925320,15138865,P,951 O'CONNOR STREET,EAST PALO ALTO,CA,94303,6508383460,
41925432,15139141,P,2220 SUMMIT DRIVE,BURLINGAME,CA,94010,6502593800,
41925665,15141404,P,300 SENECA AVE,SAN FRANCISCO,CA,94112,4154694756,
41925667,15141406,P,1775 44TH AVENUE,SAN FRANCISCO,CA,94122,4157592853,
41925670,15141409,P,840 BROADWAY STREET,SAN FRANCISCO,CA,94133,4152917967,
41925671,15141410,P,387 MORAGA AVENUE,SAN FRANCISCO,CA,94129,4155615822,
41925673,15041668,P,625 HOLLY PARK CIRCLE,SAN FRANCISCO,CA,94110,4156955922,
41925675,15041666,P,375 WOODSIDE AVENUE,SAN FRANCISCO,CA,94127,4157537792,
41925783,15000497,P,3371 16TH ST,SAN FRANCISCO,CA,94114,4158617673,
41925784,15000496,P,3250 19TH AVE,SAN FRANCISCO,CA,94132,4153349932,
41925866,15041641,P,2110 GREENWICH ST,SAN FRANCISCO,CA,94123,4157493551,
41925868,15041676,P,1 TRENTON STREET,SAN FRANCISCO,CA,94133,4152917932,
41925878,15041670,P,500 CORBETT AVENUE,SAN FRANCISCO,CA,94114,4155226757,
41925898,15000830,P,300 GAVEN ST,SAN FRANCISCO,CA,94134,4152395065,
41925972,15041891,P,1450 TARPON ST,FOSTER CITY,CA,94404,6503127680,
41926434,15034992,P,525 MIDDLE ROAD,BELMONT,CA,94002,6506374820,
41926442,15035227,P,1801 DEVEREUX DRIVE,BURLINGAME,CA,94010,6502593860,
41926443,15035230,P,1151 VANCOUVER AVENUE,BURLINGAME,CA,94010,6502593890,
41926688,15138146,P,1001 BERMUDA DR,SAN MATEO,CA,94403,6503127737,
41926690,15138147,P,130 SAN MIGUEL WAY,SAN MATEO,CA,94403,6503127533,
41926708,15138148,P,1685 EISENHOWER ST,SAN MATEO,CA,94402,6503127575,
41926730,15138149,P,161 CLARK DR,SAN MATEO,CA,94402,6503127577,
41926731,15138150,P,600 W 36TH AVE,SAN MATEO,CA,94403,6503127600,
41926811,15037442,P,425 EL DORADO DRIVE,DALY CITY,CA,94015,6509911222,
41926812,15037445,P,208 GARDEN LANE,COLMA,CA,94015,6509911233,
41926813,15037446,P,251 WHITTIER,DALY CITY,CA,94014,6509911236,
41926814,15037447,P,785 PRICE STREET,DALY CITY,CA,94014,6509911239,
41926815,15037448,P,305 EASTMOOR AVENUE,DALY CITY,CA,94015,6509911243,
41926826,15037441,P,550 E. MARKET STREET,DALY CITY,CA,94014,6509911216,
41926827,15037443,P,1255 SOUTHGATE AVENUE,DALY CITY,CA,94015,6509911225,
41927072,15041532,P,45 CONKLING STREET,SAN FRANCISCO,CA,94124,4156955612,
41927074,15041552,P,4235 19TH STREET,SAN FRANCISCO,CA,94114,4152416276,
41927075,15041559,P,651 6TH AVENUE,SAN FRANCISCO,CA,94118,4157508475,
41927076,15041578,P,625 HOLLY PARK CIRCLE,SAN FRANCISCO,CA,94110,4156955685,
41927077,15041606,P,1651 UNION STREET,SAN FRANCISCO,CA,94123,4157493530,
41927078,15041608,P,1451 JACKSON ST,SAN FRANCISCO,CA,94109,4157493535,
41927079,15041614,P,450 RAYMOND AVENUE,SAN FRANCISCO,CA,94134,4154694590,
41927080,15041636,P,325 LA GRANDE AVENUE,SAN FRANCISCO,CA,94112,4158412200,
41927081,15041637,P,2550 25TH AVENUE,SAN FRANCISCO,CA,94116,4156158460,
41927082,15041607,P,350 HARBOR ROAD,SAN FRANCISCO,CA,94124,4156955950,
41927083,15041611,P,235 12TH AVENUE,SAN FRANCISCO,CA,94118,4157508525,
41927084,15041533,P,1601 TURK ST,SAN FRANCISCO,CA,94115,4157493509,
41927085,15041535,P,350 BROADWAY,SAN FRANCISCO,CA,94133,4152917946,
41927086,15041536,P,3151 ORTEGA STREET,SAN FRANCISCO,CA,94116,4157592770,
41927087,15041539,P,625 DOUGLASS STREET,SAN FRANCISCO,CA,94114,4156955695,
41927088,15041562,P,251 6TH AVENUE,SAN FRANCISCO,CA,94118,4157508480,
41927089,15041566,P,151 LIPPARD AVENUE,SAN FRANCISCO,CA,94131,4154694713,
41927090,15041567,P,165 GRATTAN STREET,SAN FRANCISCO,CA,94117,4157592815,
