NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
062805010730,CA-0161259-6002273,0628050,CA-0161259,KG,05,ACORN Woodland Elementary,Oakland Unified,Alameda County,1025 81st Ave.,Oakland,CA,94621,2455,(510)639-3344,11,City: Large,No,No,Yes,Yes,300.00000,13.00000,23.1000000,256.00000,20.00000
069105106830,CA-0110017-0130419,0691051,CA-0110017,KG,12,Alameda County Community,Alameda County Office of Education,Alameda County,313 W. Winton Ave.,Hayward,CA,94544,1136,(510)670-4590,12,City: Midsize,No,No,Yes,Yes,174.00000,13.00000,13.4000000,138.00000,11.00000
069105109264,CA-0110017-0130401,0691051,CA-0110017,KG,12,Alameda County Juvenile Hall/Court,Alameda County Office of Education,Alameda County,2500 Fairmont Ave.,San Leandro,CA,94578,1005,(510)670-7609,21,Suburb: Large,No,No,Yes,Yes,73.00000,10.00000,7.3000000,70.00000,0.00000
069105108672,CA-0110017-6106751,0691051,CA-0110017,–,–,Alameda County Special Education,Alameda County Office of Education,Alameda County,313 W. Winton Ave.,Hayward,CA,94544,1136,(510)723-3857,12,City: Midsize,No,No,†,†,†,–,†,†,†
060177000041,CA-0161119-0130229,0601770,CA-0161119,09,12,Alameda High,Alameda Unified,Alameda County,2201 Encinal Ave.,Alameda,CA,94501,4406,(510)337-7022,21,Suburb: Large,No,No,No,†,1776.00000,76.19000,23.3000000,371.00000,39.00000
060177010547,CA-0161119-0106401,0601770,CA-0161119,09,12,Alameda Science and Technology Institute,Alameda Unified,Alameda County,555 Ralph Appezzato MEM Pk,Alameda,CA,94501,2109,(510)748-4021,21,Suburb: Large,No,Yes,Yes,No,187.00000,6.11000,30.6000000,52.00000,6.00000
060186000059,CA-0161127-0130450,0601860,CA-0161127,09,12,Albany High,Albany City Unified,Alameda County,603 Key Route Blvd.,Albany,CA,94706,1422,(510)558-2500,21,Suburb: Large,No,No,Yes,No,1129.00000,56.47000,20.0000000,202.00000,30.00000
060186000060,CA-0161127-6090161,0601860,CA-0161127,06,08,Albany Middle,Albany City Unified,Alameda County,1259 Brighton Ave.,Albany,CA,94706,1336,(510)558-3600,21,Suburb: Large,No,No,No,†,880.00000,45.96000,19.1000000,136.00000,30.00000
060002009285,CA-0175101-6002315,0600020,CA-0175101,KG,05,Alisal Elementary,Pleasanton Unified,Alameda County,1454 Santa Rita Rd.,Pleasanton,CA,94566,5697,(925)426-4200,13,City: Small,No,No,Yes,No,622.00000,26.00000,23.9000000,42.00000,10.00000
062805004238,CA-0161259-6001630,0628050,CA-0161259,KG,05,Allendale Elementary,Oakland Unified,Alameda County,3670 Penniman Ave.,Oakland,CA,94619,1116,(510)535-2812,11,City: Large,No,No,Yes,Yes,361.00000,17.00000,21.2000000,282.00000,15.00000
062805012027,CA-0161259-0112771,0628050,CA-0161259,06,08,Alliance Academy,Oakland Unified,Alameda County,1800 98th Ave.,Oakland,CA,94603,2702,(510)639-2893,11,City: Large,No,No,Yes,Yes,358.00000,23.20000,15.4000000,333.00000,11.00000
060780012607,CA-0161150-0118216,0607800,CA-0161150,–,–,Alma Preschool,Castro Valley Unified,Alameda County,4400 Alma Ave.,Castro Valley,CA,94546,3104,(510)537-3000,21,Suburb: Large,No,–,†,†,†,–,†,†,†
062211008438,CA-0161200-6117543,0622110,CA-0161200,KG,05,Altamont Creek Elementary,Livermore Valley Joint Unified,Alameda County,6500 Garaventa Ranch Rd.,Livermore,CA,94551,8701,(925)454-5575,23,Suburb: Small,No,No,No,†,595.00000,24.60000,24.2000000,106.00000,10.00000
062691011552,CA-0161242-0110478,0626910,CA-0161242,09,12,Alternative Learning Academy at Conley-Caraballo High,New Haven Unified,Alameda County,541 Blanche St.,Hayward,CA,94544,7700,(510)471-5126,12,City: Midsize,No,No,Yes,No,11.00000,1.00000,11.0000000,6.00000,1.00000
062691004065,CA-0161242-6001572,0626910,CA-0161242,KG,05,Alvarado Elementary,New Haven Unified,Alameda County,31100 Fredi St.,Union City,CA,94587,2662,(510)471-1039,21,Suburb: Large,No,No,Yes,Yes,767.00000,32.00000,24.0000000,311.00000,84.00000
060002009282,CA-0175101-0130583,0600020,CA-0175101,09,12,Amador Valley High,Pleasanton Unified,Alameda County,1155 Santa Rita Rd.,Pleasanton,CA,94566,6176,(925)461-6100,13,City: Small,No,No,No,†,2673.00000,113.90000,23.5000000,145.00000,32.00000
060177000043,CA-0161119-6100374,0601770,CA-0161119,KG,05,Amelia Earhart Elementary,Alameda Unified,Alameda County,400 Packet Landing Rd.,Alameda,CA,94502,6534,(510)748-4003,21,Suburb: Large,No,No,No,†,643.00000,24.00000,26.8000000,70.00000,12.00000
