School ID,School Name,Street Address,City,State,ZIP,Low Grade*,High Grade*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,lat,lng
6002273,ACORN Woodland Elementary,1025 81st Ave.,Oakland,CA,94621,KG,05,No,No,Yes,Yes,300.00000,13.00000,23.1000000,256.00000,20.00000,37.7529046,-122.1864449
0130419,Alameda County Community,313 W. Winton Ave.,Hayward,CA,94544,KG,12,No,No,Yes,Yes,174.00000,13.00000,13.4000000,138.00000,11.00000,37.6585103,-122.0983459
0130401,Alameda County Juvenile Hall/Court,2500 Fairmont Ave.,San Leandro,CA,94578,KG,12,No,No,Yes,Yes,73.00000,10.00000,7.3000000,70.00000,0.00000,37.7160423,-122.1183586
6106751,Alameda County Special Education,313 W. Winton Ave.,Hayward,CA,94544,–,–,No,No,†,†,†,–,†,†,†,37.6585103,-122.0983459
0130229,Alameda High,2201 Encinal Ave.,Alameda,CA,94501,09,12,No,No,No,†,1776.00000,76.19000,23.3000000,371.00000,39.00000,37.76420969999999,-122.2470432
0106401,Alameda Science and Technology Institute,555 Ralph Appezzato MEM Pk,Alameda,CA,94501,09,12,No,Yes,Yes,No,187.00000,6.11000,30.6000000,52.00000,6.00000,37.7807527,-122.2793068
0130450,Albany High,603 Key Route Blvd.,Albany,CA,94706,09,12,No,No,Yes,No,1129.00000,56.47000,20.0000000,202.00000,30.00000,37.8963058,-122.2918823
6090161,Albany Middle,1259 Brighton Ave.,Albany,CA,94706,06,08,No,No,No,†,880.00000,45.96000,19.1000000,136.00000,30.00000,37.8980465,-122.2949041
6002315,Alisal Elementary,1454 Santa Rita Rd.,Pleasanton,CA,94566,KG,05,No,No,Yes,No,622.00000,26.00000,23.9000000,42.00000,10.00000,37.6718796,-121.8723776
6001630,Allendale Elementary,3670 Penniman Ave.,Oakland,CA,94619,KG,05,No,No,Yes,Yes,361.00000,17.00000,21.2000000,282.00000,15.00000,37.7887187,-122.2048452
0112771,Alliance Academy,1800 98th Ave.,Oakland,CA,94603,06,08,No,No,Yes,Yes,358.00000,23.20000,15.4000000,333.00000,11.00000,37.7461669,-122.165824
0118216,Alma Preschool,4400 Alma Ave.,Castro Valley,CA,94546,–,–,No,–,†,†,†,–,†,†,†,37.7081983,-122.0719821
6117543,Altamont Creek Elementary,6500 Garaventa Ranch Rd.,Livermore,CA,94551,KG,05,No,No,No,†,595.00000,24.60000,24.2000000,106.00000,10.00000,37.722706,-121.7188387
0110478,Alternative Learning Academy at Conley-Caraballo High,541 Blanche St.,Hayward,CA,94544,09,12,No,No,Yes,No,11.00000,1.00000,11.0000000,6.00000,1.00000,37.6150934,-122.0284784
6001572,Alvarado Elementary,31100 Fredi St.,Union City,CA,94587,KG,05,No,No,Yes,Yes,767.00000,32.00000,24.0000000,311.00000,84.00000,37.595985,-122.076828
0130583,Amador Valley High,1155 Santa Rita Rd.,Pleasanton,CA,94566,09,12,No,No,No,†,2673.00000,113.90000,23.5000000,145.00000,32.00000,37.6685767,-121.8739564
6100374,Amelia Earhart Elementary,400 Packet Landing Rd.,Alameda,CA,94502,KG,05,No,No,No,†,643.00000,24.00000,26.8000000,70.00000,12.00000,37.744661,-122.238152
0130062,American High,36300 Fremont Blvd.,Fremont,CA,94536,09,12,No,No,Yes,No,2273.00000,97.52000,23.3000000,371.00000,68.00000,37.5653614,-122.0164491
6085773,Andrew N. Christensen Middle,5757 Haggin Oaks Ave.,Livermore,CA,94551,06,08,No,No,No,†,717.00000,29.84000,24.0000000,125.00000,22.00000,37.7254804,-121.7287021
6090492,Anna Yates Elementary,4727 San Pablo Ave.,Emeryville,CA,94608,KG,08,No,No,Yes,Yes,511.00000,26.00000,19.7000000,344.00000,48.00000,37.8363111,-122.2818262
6056956,Anthony W. Ochoa Middle,2121 Depot Rd.,Hayward,CA,94545,07,08,No,No,Yes,Yes,571.00000,25.93000,22.0000000,340.00000,54.00000,37.640393,-122.1096965
6104723,Ardenwood Elementary,33955 Emilia Ln.,Fremont,CA,94555,KG,06,No,No,No,†,948.00000,36.00000,26.3000000,74.00000,9.00000,37.5725858,-122.0528931
0130849,Arroyo High,15701 Lorenzo Ave.,San Lorenzo,CA,94580,09,12,No,No,No,†,1830.00000,79.33000,23.1000000,731.00000,202.00000,37.6802527,-122.1394333
6071906,Arroyo Seco Elementary,5280 Irene Way,Livermore,CA,94550,KG,05,No,No,No,†,664.00000,27.00000,24.6000000,131.00000,21.00000,37.6843677,-121.728472
6001440,August Schilling Elementary,36901 Spruce St.,Newark,CA,94560,KG,06,No,No,Yes,Yes,413.00000,17.00000,24.3000000,276.00000,36.00000,37.5280204,-122.0473654
6057111,Bancroft Middle,13701 Bancroft Ave.,San Leandro,CA,94578,06,08,No,No,Yes,Yes,1048.00000,45.45000,23.1000000,610.00000,106.00000,37.7152512,-122.1404925
6002505,Bay Elementary,2001 Bockman Rd.,San Lorenzo,CA,94580,KG,05,No,No,Yes,No,490.00000,22.12000,22.2000000,219.00000,47.00000,37.6718832,-122.1473962
6110779,Bay Farm,200 Aughinbaugh Way,Alameda,CA,94502,KG,08,No,No,No,†,640.00000,27.70000,23.1000000,56.00000,15.00000,37.7441211,-122.2519223
6002281,Beach Elementary,100 Lake Ave.,Piedmont,CA,94611,KG,05,No,No,Yes,No,298.00000,14.00000,21.3000000,7.00000,0.00000,37.8232855,-122.2463483
6001655,Bella Vista Elementary,1025 E. 28th St.,Oakland,CA,94610,KG,05,No,No,Yes,Yes,447.00000,19.00000,23.5000000,328.00000,26.00000,37.8002026,-122.237426
6097729,Berkeley Arts Magnet at Whittier,1645 Milvia St.,Berkeley,CA,94709,KG,05,No,Yes,No,†,442.00000,20.98000,21.1000000,132.00000,16.00000,37.8769654,-122.2708536
0131177,Berkeley High,1980 Allston Way,Berkeley,CA,94704,09,12,No,No,No,†,3117.00000,153.40000,20.3000000,809.00000,75.00000,37.8679926,-122.2706171
